product_name,review_body,rating,source
Oppenheimer,Before watching the movie you must watch the series. Great political series which highlights how afraid the American government was well is still afraid of communism.,5.0,Letterboxd
Oppenheimer,"Watched over July 24-31.Almost impossibly, Nolan manages to cram far more story into his three hours then Davis does in his seven. Something, something, something, quantum physics, innit?It's fine, but why watch this when a shorter, far superior spectacle exists?",3.0,Letterboxd
Oppenheimer,"Sam Waterson softly saying that scientists shouldn't be involved in politics is more powerful than any of Nolan's loud noises, explosions and gimmicky flashforwards.",4.0,Letterboxd
Oppenheimer,Lengthy but comprehensive BBC version which I haven't seen again since it first aired. Waterson makes for a less anaemic looking titular scientist but still captures the weary and worn-out vibe of a man haunted by his creation and by the vindictive paranoia of an establishment that shamefully turned its back on him.,4.0,Letterboxd
Oppenheimer,"I wanted to watch this mini series after seeing Nolan's Oppenheimer, I thought Sam Waterston was great, I'd hadn't seen much of his work when he was that young.",4.5,Letterboxd
Oppenheimer,"In the wake of Christopher Nolan's 2023 film, and their centenary, the BBC seemed to realise what a great wealth of culture they actually are, and have begun to make available some of their older work. Part of this includes their 1980 production, ""Oppenheimer"" a seven part biography on J. Robert Oppenheimer, starring Sam Waterston as the titular.Now, I'm a big fan of old television, but even I can admit when it's a bit of a slog. This mini-series…",3.0,Letterboxd
Oppenheimer,"What absolutely amazes me is that seven hours of this didn’t really give me anything new that wasn’t done or touched on in Nolan’s film (just allowed some of those things to breathe more and not be restricted to Oppie’s pov) but also still didn’t include the Strauss hearing or college Oppie so Nolan really is some fucking timey wimey wizard to get all that in three hours.Anyways, if you’re one of those with the main complaint about needing it in chronological order then try this.",3.5,Letterboxd
Oppenheimer,where's florence pugh and emily blunt,2.5,Letterboxd
Oppenheimer,"""Now I am become Death, the destroyer of worlds""Seven part mini series detailing the life of Robert Oppenheimer, the man that guided the team that built the first Atom Bomb. Verdict....gripping well made drama covering a sensitive subject and a road in history that maybe the human race should not have taken!",4.5,Letterboxd
Oppenheimer,Haha bomb go boom,4.0,Letterboxd
Oppenheimer,"It's 7 hours long. It's the BBC. It's the early 80s. It's got virtually no budget.You won't get flashy cuts, lush photography, Marvel/DC actors or Florence Pugh's boobs.What you will get, however, is a clever and thorough take on a very serious chapter of our recent history.It's not a blockbuster, guys, and why should it be? What a dramatisation of Oppenheimer's life needs to be is an encompassing look at a complex character becoming a key player…",3.5,Letterboxd
Oppenheimer,American PrometheuZzZzZzZzZzZz,2.0,Letterboxd
Oppenheimer,"Very stiff, old school TV style acting and direction but - even if you haven't seen Nolan's version - clearly gives a very thorough account of Oppie's story. This perhaps struggles in the post war part of history as, inevitably, that's less interesting than the development of The Bomb. This is still worth your time though and makes you realise how far cinema has come.",3.0,Letterboxd
Oppenheimer,"choose da wrong one my bad. other one is top though, films got cillian murphy playing some tormented man for 3 hours thats just Cinema babeh",4.0,Letterboxd
Oppenheimer,I don’t know what this is… but it’s on television and it certainly wasn’t Christopher Nolan’s Oppenheimer - at least I understood lots of the story and the names and context of the characters after seeing the 2023 film in IMAX Cinema. 💣,2.0,Letterboxd
Oppenheimer,"Wasn't even in five dimensions and didn't have any practical let alone computery effects, but they did quite wokely cast a nerd as Oppenheimer so that part was good.",1.5,Letterboxd
Oppenheimer,"In this series, Robert Oppenheimer is shown to be a Communist sympathizer, but his interest in politics is middling, and he gets bored with the Reds using his living room for their endless meetings. Postwar he says, ""panic and ignorance, it's a great combination."" The productive relationship between Oppenheimer and General Groves is nicely illustrated, each in their own way needed a problem solver, but for different problems. The set decoration and the costumes are good and the excellent cast is given a sharp script providing a nice authenticity. STEM nerds will geek out on the classroom and laboratory conversations.",3.5,Letterboxd
Oppenheimer,Shit was good.,4.0,Letterboxd
Oppenheimer,Homework for the movie,2.0,Letterboxd
Oppenheimer,sem condições,1.0,Letterboxd
Oppenheimer,"Perfectly average '80s miniseries. I appreciated the work Sam Waterston does with his portrayal (infinitely better than the Dwight Schultz turn inFat Man Little Boy).I know it was just the date this came out and the time period it portrays, but this would have been great if it had been written/directed by R. W. Fassbinder!(Watched as part of my pre-Oppenheimerviewing list)",3.0,Letterboxd
Oppenheimer,"Dull, boring, meandering and informative.The cast does a creditable job. Sam Waterston is good as Oppenheimer. The cast members that portray AEC lawyer Roger Robb, Groves and Teller are also very good.The series goes into a fair amount of detail about the personal life of Oppenheimer, which I knew next to nothing about before seeing this, and it is worth watching for this alone.Any form of dramatic tension is missing, yes I watched this in preparation for…",3.5,Letterboxd
Oppenheimer,"Sam Waterston gives a great performance at the center but the series surrounding him struggles to meet his patrician tone. Still, for a BBC series produced in the late 70s and decades before AMERICAN PROMETHEUS it’s a noble attempt at making the whole Oppenheimer & Manhattan Project ordeal into something an audience can wrap its arms around.",3.0,Letterboxd
Oppenheimer,"i am become bored, watcher of mediocre biopics",3.0,Letterboxd
Oppenheimer,A must watch for anyone waiting for the upcoming Christopher Nolan film.,4.0,Letterboxd
Oppenheimer,"Overlooked, campy biopic of the titular physicist. Watched on DVD #BBC",5.0,Letterboxd
Barbie,margot robbie is the most beautiful woman i have ever seen,5.0,Letterboxd
Barbie,loved how mad yall got when they made a movie abt gender inequality,4.5,Letterboxd
Barbie,This rewatch was crucial to my development.,4.5,Letterboxd
Barbie,"Ending my family’s favorite films challenge on a high note! This is my sister’s favorite. She’s not much of a film buff, but she has ahugecrush on Ryan Gosling. I still love this film so much and it’s still one of my favorites. 🩷Well, it turns out that my family has great taste in films! I wasn’t expecting that. Thanks to them, I discovered how great Spirited Away, The Sting and Ocean’s Eleven are! I enjoyed doing this challenge a lot.My family’s favorite films",5.0,Letterboxd
Barbie,"Thank you Greta Gerwig for understand women in their 20s, we don't deserve you queen",5.0,Letterboxd
Barbie,"Personally I didn’t really like or resonate with this film, but I am hesitant to criticise it carelessly because I know the weight this film and how many people did connect with it. I absolutely think there’s space for criticism on the Barbie movie, lord knows I have some of my own, but I think this is the type of film where it deserves effort. It’s not the film I write a review saying how shite it was, it’s the…",3.5,Letterboxd
Barbie,"One of the best movies I’ve watched, brought me to tears several times.",5.0,Letterboxd
Barbie,Go over there? By myself? Don’t go far. I WON’T!!😂😂😂,5.0,Letterboxd
Barbie,maybe I could grow to like it more but I am just so tired of monologuing in movies. good funny watch tho but it didn't make me cry and I have MOMMY ISSUES,3.5,Letterboxd
Barbie,"bastante mala pelicula como también representación, la mayoría de actuaciónes no parecen naturales, exceptuando a Margot, que cumple bastante bien su rol, pero la mayoría de la peli se siente forzada y sin profundizar. Lo más destacable podria ser los sentimientos de la muñeca, me gusta como experimentaron en ese aspecto.",2.0,Letterboxd
Barbie,"what a blessing to be a girl & what a chaos it is as well. I hope to never lose my inner child while navigating the different stages in my life, as should all women because life is already hard as it is & even harder for us simply because we are women. The real world is harsh but that doesn’t mean all is lost",3.0,Letterboxd
Barbie,"Some very ham fisted monologues in this but it’s a very funny interesting movie and cements in my mind Margot Robbie as an actress who should be known as more than just Harley Quinn and just generally as a hot A list actress, and Ryan Gosling as someone who’s good in everything",4.0,Letterboxd
Barbie,I'm Kenough. I'm Kenough. I'm Kenough. I'm Kenough. I'm Kenough. I'm Kenough. I'm Kenough. I'm Kenough. I'm Kenough. I'm Kenough. I'm Kenough. I'm Kenough. I'm Kenough. I'm Kenough. I'm Kenough. I'm Kenough. I'm Kenough. I'm Kenough. I'm Kenough. I'm Kenough. I'm Kenough. I'm Kenough. I'm Kenough. I'm Kenough. I'm Kenough. I'm Kenough. I'm Kenough. I'm Kenough. I'm Kenough. I'm Kenough. I'm Kenough. I'm Kenough. I'm Kenough.,3.0,Letterboxd
Barbie,"Very goofy movie. Ryan gosling was amazing tho, def the reason I could get through this movie.",2.5,Letterboxd
Barbie,I didn’t like it .,2.0,Letterboxd
Barbie,toda vez q eu vejo eu gosto menos,2.5,Letterboxd
Barbie,IM JUST KEN,3.5,Letterboxd
Barbie,Ummmmm went with my summer situationship and cried there 5/5 we stopped talking so 4.5 cause im petty,4.5,Letterboxd
Barbie,"que filme delicia, tudo se encaixa",5.0,Letterboxd
Barbie,As subtle as Margot Robbie in that roller blade outfit. And nearly as fitting.,3.5,Letterboxd
Barbie,Funny at times but also slow and boring in parts. Tries too hard,2.5,Letterboxd
Barbie,Phenomenal with an AMAZING cast and story. I love this movie so much and I enjoyed the soundtrack a lot. Margot Robbie is literally the embodiment of Barbie she was perfectly casted in my opinion. I enjoyed Ryan Gosling as Ken as well very fitting. 💖✨,5.0,Letterboxd
Barbie,people don’t understand literally how culturally significant and important this movie is to women and feminism,4.5,Letterboxd
Barbie,"i’m not gonna write a dissertation on this, its a fun movie and i had fun",4.0,Letterboxd
Barbie,How dudes feel watching movies with Ryan Gosling and saying “literally me” every time (they’re only rightthistime),5.0,Letterboxd
Barbie,ho riso più di quanto immaginassi,3.0,Letterboxd
Barbie,"(originally published on Medium in 2023)It feels in very stark contrast to write a review of Barbie immediately after writing one for Oppenheimer, but that’s the cultural moment that we find ourselves in; after all, they both came out on the same weekend and like so many others, we felt drawn to see them both this past weekend in the event commonly known as “Barbenheimer”.Barbie is one of those movies that absolutely should not work — it is…",4.5,Letterboxd
